IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
GZH,113.34,23.09,-174.93,16.37,Guangzhou
MLT,30.89,29.52,102.45,21.44,Misallat
PAL,295.95,-64.77,9.12,-49.62,Palmer
NOK,88.1,69.4,161.89,64.77,NOK
HLM,210.13,61.24,-95.43,61.21,HLMS
HOM,209.53,59.7,-95.12,59.51,Homer
TRP,150.24,62.67,-141.89,56.82,Trapper
BGY,35.09,31.72,106.73,25.05,Bar Gyora
ESA,141.36,39.24,-147.08,32.44,Esashi
GCK,20.77,44.63,94.44,39.86,Grocka
KNZ,48.85,55.83,122.44,51.7,Zaymishche
MIZ,141.2,39.11,-147.23,32.31,Mizusawa
SFS,354.06,36.67,70.25,27.56,San Fernando
SHU,199.54,55.38,-101.55,53.09,Shumagin
BFO,8.33,48.33,84.46,44.27,Black Forest
MSK,34.52,52.69,108.57,48.53,MSK
B11,336.58,-77.51,30.06,-63.22,m78-337
B12,335.88,-79.08,29.08,-64.46,m79-336
B14,337.74,-80.89,28.81,-66.1,m81-338
B15,2.97,-81.49,36.68,-68.39,m82-003
B17,347.76,-82.9,30.34,-68.35,m83-348
B18,336.14,-84.35,25.84,-69.03,m84-336
B19,2.06,-85.36,30.03,-71.04,m85-002
B20,95.98,-85.36,30.19,-77.75,m85-096
B21,28.41,-87,29.01,-73.32,m87-028
B22,68.17,-86.51,30.76,-75.5,m87-069
B23,316.13,-88.03,19.86,-72.13,m88-316
B03,291.88,-67.57,7.66,-52.28,m67-292
M01,263.55,46.87,-29.68,57.35,Glyndon
M02,266.75,45.56,-24.93,56.39,Cambridge
M03,264.4,43.6,-28.15,54.2,Worthington
M04,263.84,41.36,-28.74,51.89,Bennington
M05,263.7,38.5,-28.7,49,Americus
M06,262.6,35,-29.89,45.3,Purcell
M07,263.25,32.98,-28.9,43.34,Richardson
M08,261.39,29.44,-30.96,39.42,San Antonio
M09,262.2,26.4,-29.74,36.42,Lyford
M10,260.4,24.8,-31.74,34.44,Linares
M11,256.9,20.7,-35.26,29.45,Juriquilla
B01,296.52,-64.82,9.44,-49.68,m65-297
B02,294,-66.03,8.37,-50.79,m66-294
B04,41.08,-68.58,73.59,-65.98,m68-041
B05,41.32,-69.29,72.66,-66.43,m69-041
B06,39.4,-69.67,70.9,-66.29,m70-039
B07,44.28,-70.7,72.17,-67.78,m70-044
B08,159.03,-72.77,-67.25,-80.46,m73-159
B09,42.99,-74.01,65.37,-69.34,m74-043
B10,39.71,-77.32,57.01,-70.47,m77-040
B24,77.77,-71.67,90.53,-76.03,m72-078
B13,77,-80,56.47,-77.71,m80-077
B16,347.06,-82.78,30.27,-68.21,m83-347
B27,3,-81,37.38,-68.05,m81-003
KTB,100.32,-0.2,171.95,-8.98,Kototabang
JCO,211.2,70.36,-101.79,70.56,Jim Carrigan
SBL,299.99,43.93,21.93,51.74,Sable Carrigan
C02,265.79,57.71,-27.9,68.08,Back Lake
C13,239.97,51.88,-61.39,57.96,Wells Gray
